Postal Area (POA),QLD Major Cities of Australia,QLD Inner Regional Australia,QLD Outer Regional Australia,QLD Remote Australia,QLD Very Remote Australia,QLD Migratory,No Usual Address,Total
4343,0,9096,0,0,0,0,0,9096
4344,0,2642,0,0,0,0,0,2642
4345,0,192,0,0,0,0,0,192
4346,0,537,0,0,0,0,0,537
4347,0,782,0,0,0,0,0,782
4350,0,99483,0,0,0,0,0,99483
4352,0,18684,1530,0,0,0,0,20206
4354,0,1055,0,0,0,0,0,1055
4355,0,2433,0,0,0,0,0,2433
4356,0,3925,0,0,0,0,0,3925
4357,0,1220,1256,0,0,0,0,2476
4358,0,2203,0,0,0,0,0,2203
4359,0,998,0,0,0,0,0,998
4360,0,390,0,0,0,0,0,390
4361,0,2397,0,0,0,0,0,2397
4362,0,1854,0,0,0,0,0,1854
4363,0,782,0,0,0,0,0,782
4364,0,288,0,0,0,0,0,288
4365,0,148,342,0,0,0,0,489
4370,0,17351,161,0,0,0,0,17521
4371,0,348,0,0,0,0,0,348
4373,0,0,835,0,0,0,0,835
4374,0,176,0,0,0,0,0,176
4377,0,0,807,0,0,0,0,807
4380,0,0,7309,0,0,0,0,7309
4381,0,0,643,0,0,0,0,643
4382,0,0,396,0,0,0,0,396
4383,0,0,378,0,0,0,0,378
4387,0,0,1203,0,0,0,0,1203
4388,0,0,453,0,0,0,0,453
4390,0,0,6197,0,0,0,0,6197
4400,0,1470,0,0,0,0,0,1470
4401,0,5566,0,0,0,0,0,5566
4402,0,0,682,0,0,0,0,682
4403,0,337,0,0,0,0,0,337
4404,0,783,0,0,0,0,0,783
4405,0,11838,888,0,0,0,0,12731
4407,0,0,448,0,0,0,0,448
4408,0,0,719,0,0,0,0,719
4410,0,0,1182,0,0,0,0,1182
4411,0,0,535,0,0,0,0,535
4412,0,0,456,0,0,0,0,456
4413,0,0,5053,112,0,0,0,5163
4415,0,0,1950,0,0,0,0,1950
4416,0,0,239,130,0,0,0,370
4417,0,0,0,753,0,0,0,753
4418,0,0,0,152,0,0,0,152
4419,0,0,0,767,0,0,0,767
4420,0,0,0,1389,0,0,0,1389
4421,0,0,2502,492,0,0,0,2996
4422,0,0,0,592,0,0,0,592
4423,0,0,0,86,0,0,0,86
4424,0,0,135,0,0,0,0,135
4425,0,0,0,228,0,0,0,228
4426,0,0,0,172,0,0,0,172
4427,0,0,0,178,0,0,0,178
4428,0,0,0,717,0,0,0,717
4454,0,0,0,740,67,0,0,811
4455,0,0,6505,1481,0,0,0,7989
4462,0,0,0,202,0,0,0,202
4465,0,0,0,1226,132,0,0,1356
4467,0,0,0,0,187,0,0,187
4468,0,0,0,0,318,0,0,318
4470,0,0,0,3277,467,0,0,3740
4472,0,0,0,0,1458,0,0,1458
4474,0,0,0,0,59,0,0,59
4475,0,0,0,0,86,0,0,86
4477,0,0,0,0,519,0,0,519
4478,0,0,0,0,563,0,0,563
4480,0,0,0,0,921,0,0,921
4481,0,0,0,0,155,0,0,155
4482,0,0,0,0,112,0,0,112
4486,0,0,0,560,147,0,0,705
4487,0,0,0,3119,0,0,0,3119
4488,0,0,0,0,337,0,0,337
4489,0,0,0,0,115,0,0,115
4490,0,0,0,0,1701,0,0,1701
4491,0,0,0,0,108,0,0,108
4492,0,0,0,0,234,0,0,234
4493,0,0,0,0,61,0,0,61
4494,0,0,223,260,0,0,0,483
4496,0,0,0,210,0,0,0,210
4497,0,0,0,410,0,0,0,410
4498,0,0,0,121,0,0,0,121
4500,30614,618,0,0,0,0,0,31234
4501,5644,0,0,0,0,0,0,5644
4502,8567,0,0,0,0,0,0,8567
4503,27207,0,0,0,0,0,0,27207
4504,12739,259,0,0,0,0,0,13000
4505,15246,0,0,0,0,0,0,15246
4506,18410,0,0,0,0,0,0,18410
4507,0,15914,0,0,0,0,0,15914
4508,17906,0,0,0,0,0,0,17906
4509,9069,0,0,0,0,0,0,9069
4510,31169,2838,0,0,0,0,0,34001
4511,0,6137,0,0,0,0,0,6137
4512,1462,867,0,0,0,0,0,2335
4514,0,5476,0,0,0,0,0,5476
4515,0,2250,112,0,0,0,0,2363
4516,2888,763,0,0,0,0,0,3644
4517,0,287,0,0,0,0,0,287
4518,0,4452,0,0,0,0,0,4452
4519,0,5715,0,0,0,0,0,5715
4520,417,10740,0,0,0,0,0,11158
4521,0,3721,0,0,0,0,0,3721
4550,0,3812,0,0,0,0,0,3812
4551,41671,0,0,0,0,0,0,41671
4552,0,7280,0,0,0,0,0,7280
4553,784,3866,0,0,0,0,0,4648
4554,408,1566,0,0,0,0,0,1974
4555,0,6442,0,0,0,0,0,6442
4556,34452,0,0,0,0,0,0,34452
4557,13423,0,0,0,0,0,0,13423
4558,15888,0,0,0,0,0,0,15888
4559,706,4153,0,0,0,0,0,4856
4560,5038,21032,0,0,0,0,0,26065
4561,388,5281,0,0,0,0,0,5667
4562,0,7106,0,0,0,0,0,7106
4563,0,7585,0,0,0,0,0,7585
4564,8881,0,0,0,0,0,0,8881
4565,10473,2921,0,0,0,0,0,13394
4566,6526,0,0,0,0,0,0,6526
4567,10059,0,0,0,0,0,0,10059
4568,0,2653,0,0,0,0,0,2653
4569,0,1956,0,0,0,0,0,1956
4570,0,35845,318,0,0,0,0,36165
4571,0,544,0,0,0,0,0,544
4572,3339,0,0,0,0,0,0,3339
4573,17046,68,0,0,0,0,0,17118
4574,0,1161,0,0,0,0,0,1161
4575,19736,0,0,0,0,0,0,19736
4580,0,4031,0,0,0,0,0,4031
4581,0,998,0,364,0,0,0,1357
4600,0,0,677,0,0,0,0,677
4601,0,0,1185,0,0,0,0,1185
4605,0,1131,3458,0,0,0,0,4582
4606,0,0,1911,0,0,0,0,1911
4608,0,0,854,0,0,0,0,854
4610,0,11688,1911,0,0,0,0,13596
4612,0,0,565,0,0,0,0,565
4613,0,0,719,0,0,0,0,719
4614,0,945,0,0,0,0,0,945
4615,0,5273,905,0,0,0,0,6177
4620,0,0,118,0,0,0,0,118
4621,0,0,1935,0,0,0,0,1935
