,Postal Area (POA),Total,ATSI,Proportion ATSI,Remoteness
144,4313,1084,31,0.0285977859779,Inner Regional
145,4340,2323,60,0.0258286698235,Inner Regional
146,4341,5251,130,0.0247571891068,Inner Regional
147,4342,844,38,0.0450236966825,Inner Regional
148,4343,4587,111,0.02419882276,Inner Regional
149,4344,1298,17,0.0130970724191,Inner Regional
150,4345,132,0,0.0,Inner Regional
151,4346,259,4,0.015444015444,Inner Regional
152,4347,379,6,0.0158311345646,Inner Regional
153,4350,51869,1581,0.0304806339046,Inner Regional
154,4352,9947,148,0.0148788579471,Inner Regional
155,4354,519,18,0.0346820809249,Inner Regional
156,4355,1236,15,0.0121359223301,Inner Regional
157,4356,1966,46,0.0233977619532,Inner Regional
158,4357,1211,33,0.027250206441,Inner Regional
159,4358,1016,15,0.0147637795276,Inner Regional
160,4359,494,0,0.0,Inner Regional
161,4360,194,0,0.0,Inner Regional
162,4361,1192,22,0.0184563758389,Inner Regional
163,4362,937,24,0.025613660619,Inner Regional
164,4363,374,7,0.0187165775401,Inner Regional
165,4364,135,4,0.0296296296296,Inner Regional
166,4365,225,4,0.0177777777778,Inner Regional
167,4370,8944,278,0.0310822898032,Inner Regional
168,4371,181,0,0.0,Inner Regional
169,4373,416,22,0.0528846153846,Outer Regional
170,4374,90,0,0.0,Inner Regional
171,4377,399,9,0.0225563909774,Outer Regional
172,4380,3763,46,0.012224289131,Outer Regional
173,4381,303,4,0.013201320132,Outer Regional
174,4382,186,7,0.0376344086022,Outer Regional
175,4383,184,16,0.0869565217391,Outer Regional
176,4387,580,44,0.0758620689655,Outer Regional
177,4388,220,3,0.0136363636364,Outer Regional
178,4390,3104,122,0.0393041237113,Outer Regional
179,4400,727,28,0.0385144429161,Inner Regional
180,4401,2787,197,0.0706853247219,Inner Regional
181,4402,328,16,0.0487804878049,Outer Regional
182,4403,163,9,0.0552147239264,Inner Regional
183,4404,375,10,0.0266666666667,Inner Regional
184,4405,6302,351,0.0556966042526,Inner Regional
185,4407,212,3,0.0141509433962,Outer Regional
186,4408,343,5,0.0145772594752,Outer Regional
187,4410,595,22,0.036974789916,Outer Regional
188,4411,252,10,0.0396825396825,Outer Regional
189,4412,215,3,0.0139534883721,Outer Regional
190,4413,2515,91,0.0361829025845,Outer Regional
191,4415,1006,46,0.0457256461233,Outer Regional
192,4416,168,4,0.0238095238095,Outer Regional
193,4417,375,38,0.101333333333,Remote
194,4418,76,0,0.0,Remote
195,4419,376,3,0.00797872340426,Remote
196,4420,695,13,0.0187050359712,Remote
197,4421,1432,82,0.0572625698324,Outer Regional
198,4422,267,4,0.0149812734082,Remote
199,4423,42,0,0.0,Remote
200,4424,50,0,0.0,Outer Regional
201,4425,102,9,0.0882352941176,Remote
202,4426,82,0,0.0,Remote
203,4427,76,9,0.118421052632,Remote
204,4428,331,19,0.0574018126888,Remote
205,4454,374,12,0.0320855614973,Remote
206,4455,3993,318,0.0796393688956,Outer Regional
207,4462,108,0,0.0,Remote
208,4465,653,76,0.116385911179,Remote
209,4467,89,0,0.0,Very Remote
210,4468,146,4,0.027397260274,Very Remote
211,4470,1875,231,0.1232,Remote
212,4472,742,15,0.0202156334232,Very Remote
213,4474,29,0,0.0,Very Remote
214,4475,30,0,0.0,Very Remote
215,4477,260,11,0.0423076923077,Very Remote
216,4478,278,16,0.0575539568345,Very Remote
217,4480,428,48,0.11214953271,Very Remote
218,4481,74,10,0.135135135135,Very Remote
219,4482,58,23,0.396551724138,Very Remote
220,4486,323,83,0.256965944272,Remote
221,4487,1544,241,0.156088082902,Remote
222,4488,152,18,0.118421052632,Very Remote
223,4489,54,6,0.111111111111,Very Remote
224,4490,833,276,0.331332533013,Very Remote
225,4491,47,4,0.0851063829787,Very Remote
226,4492,107,18,0.168224299065,Very Remote
227,4493,24,3,0.125,Very Remote
228,4494,227,6,0.0264317180617,Outer Regional
229,4496,90,0,0.0,Remote
230,4497,193,17,0.0880829015544,Remote
231,4498,57,5,0.0877192982456,Remote
232,4500,15730,254,0.0161474888748,Major City
233,4501,2873,86,0.0299338670379,Major City
234,4502,4339,58,0.0133671352846,Major City
235,4503,13767,256,0.0185951913997,Major City
236,4504,6506,83,0.0127574546572,Major City
237,4505,7734,144,0.0186190845617,Major City
238,4506,9262,182,0.0196501835457,Major City
239,4507,8294,143,0.0172413793103,Inner Regional
240,4508,9131,292,0.0319789727303,Major City
241,4509,4668,56,0.0119965724079,Major City
242,4510,17294,482,0.0278709378975,Major City
243,4511,3114,66,0.0211946050096,Inner Regional
244,4512,1145,19,0.0165938864629,Major City
245,4514,2311,49,0.0212029424492,Inner Regional
246,4515,1172,38,0.0324232081911,Inner Regional
247,4516,1805,13,0.00720221606648,Major City
248,4517,150,0,0.0,Inner Regional
249,4518,2221,40,0.018009905448,Inner Regional
250,4519,2863,52,0.018162766329,Inner Regional
251,4520,5494,41,0.00746268656716,Major City
252,4521,1848,24,0.012987012987,Inner Regional
253,4550,1894,38,0.0200633579725,Inner Regional
254,4551,21663,272,0.0125559710105,Major City
255,4552,3750,37,0.00986666666667,Inner Regional
256,4553,2349,22,0.00936568752661,Major City
257,4554,975,3,0.00307692307692,Major City
258,4555,3289,40,0.0121617512922,Inner Regional
259,4556,18308,128,0.0069914791348,Major City
260,4557,6716,73,0.0108695652174,Major City
261,4558,8243,122,0.0148004367342,Major City
262,4559,2379,30,0.0126103404792,Major City
263,4560,13469,272,0.0201945207514,Major City
264,4561,2749,25,0.00909421607857,Major City
265,4562,3539,21,0.00593387962701,Inner Regional
266,4563,3881,55,0.0141716052564,Inner Regional
267,4564,4435,58,0.0130777903044,Major City
268,4565,6835,78,0.0114118507681,Major City
269,4566,3409,14,0.0041067761807,Major City
270,4567,5122,41,0.00800468566966,Major City
271,4568,1321,14,0.0105980317941,Inner Regional
272,4569,989,3,0.00303336703741,Inner Regional
273,4570,18198,386,0.0212111221013,Inner Regional
274,4571,269,10,0.0371747211896,Inner Regional
275,4572,1638,12,0.00732600732601,Major City
276,4573,8733,79,0.0090461467995,Major City
277,4574,551,7,0.0127041742287,Inner Regional
278,4575,10149,124,0.0122179525076,Major City
279,4580,1959,59,0.0301174068402,Inner Regional
280,4581,633,12,0.0189573459716,Inner Regional
281,4600,329,20,0.0607902735562,Outer Regional
282,4601,600,8,0.0133333333333,Outer Regional
283,4605,2337,723,0.309370988447,Inner Regional
284,4606,967,56,0.0579110651499,Outer Regional
285,4608,416,20,0.0480769230769,Outer Regional
286,4610,6851,117,0.0170777988615,Inner Regional
287,4612,260,0,0.0,Outer Regional
288,4613,344,12,0.0348837209302,Outer Regional
289,4614,481,14,0.029106029106,Inner Regional
290,4615,3074,114,0.0370852309694,Inner Regional
291,4620,59,3,0.0508474576271,Outer Regional
292,4621,945,18,0.0190476190476,Outer Regional
293,4625,1375,87,0.0632727272727,Outer Regional
294,4626,991,40,0.0403632694248,Outer Regional
295,4627,413,85,0.205811138015,Outer Regional
296,4630,1228,21,0.0171009771987,Outer Regional
297,4650,15634,430,0.0275041576052,Inner Regional
298,4655,24142,623,0.0258056499047,Inner Regional
299,4659,1922,48,0.0249739854318,Inner Regional
300,4660,2931,60,0.0204708290686,Inner Regional
301,4662,213,4,0.018779342723,Inner Regional
302,4670,36747,1093,0.0297439246741,Inner Regional
303,4671,2471,73,0.0295426952651,Outer Regional
304,4673,185,6,0.0324324324324,Outer Regional
305,4674,706,14,0.0198300283286,Outer Regional
306,4676,128,0,0.0,Outer Regional
307,4677,1302,26,0.0199692780338,Outer Regional
308,4678,313,0,0.0,Outer Regional
309,4680,21593,713,0.0330199601723,Inner Regional
310,4694,131,4,0.030534351145,Outer Regional
311,4695,528,24,0.0454545454545,Outer Regional
312,4699,52,3,0.0576923076923,Outer Regional
313,4700,8901,404,0.0453881586339,Inner Regional
314,4701,20472,1360,0.0664322000782,Inner Regional
315,4702,11915,503,0.0422156945027,Inner Regional
316,4703,8159,230,0.0281897291335,Inner Regional
317,4705,201,3,0.0149253731343,Outer Regional
318,4706,52,0,0.0,Remote
319,4707,144,3,0.0208333333333,Remote
320,4709,741,27,0.0364372469636,Remote
321,4710,1591,72,0.0452545568825,Inner Regional
322,4711,795,6,0.00754716981132,Inner Regional
323,4712,116,31,0.26724137931,Outer Regional
324,4713,428,398,0.929906542056,Remote
325,4714,1289,165,0.128006206362,Inner Regional
326,4715,3440,93,0.0270348837209,Outer Regional
327,4716,395,8,0.020253164557,Outer Regional
328,4717,2292,96,0.0418848167539,Outer Regional
329,4718,1087,48,0.0441582336707,Outer Regional
330,4719,659,53,0.0804248861912,Outer Regional
331,4720,5983,194,0.0324252047468,Outer Regional
332,4721,1580,21,0.0132911392405,Remote
333,4722,732,24,0.0327868852459,Remote
334,4723,382,9,0.0235602094241,Remote
335,4724,283,13,0.0459363957597,Very Remote
336,4725,815,74,0.0907975460123,Very Remote
337,4726,265,10,0.0377358490566,Very Remote
338,4727,131,3,0.0229007633588,Very Remote
339,4728,147,0,0.0,Very Remote
340,4730,1816,70,0.0385462555066,Very Remote
341,4731,82,0,0.0,Very Remote
342,4732,43,0,0.0,Very Remote
343,4733,20,0,0.0,Very Remote
344,4735,620,70,0.112903225806,Very Remote
345,4736,65,4,0.0615384615385,Very Remote
346,4737,3448,203,0.0588747099768,Outer Regional
347,4738,340,10,0.0294117647059,Outer Regional
348,4739,154,5,0.0324675324675,Outer Regional
349,4740,35832,1490,0.0415829426211,Inner Regional
350,4741,2818,42,0.0149041873669,Outer Regional
351,4742,602,19,0.031561461794,Outer Regional
352,4743,499,11,0.0220440881764,Outer Regional
353,4744,3265,71,0.0217457886677,Outer Regional
354,4745,1321,39,0.0295230885693,Outer Regional
355,4746,1040,23,0.0221153846154,Remote
356,4750,2175,93,0.0427586206897,Inner Regional
357,4751,1756,48,0.0273348519362,Inner Regional
358,4753,1070,28,0.0261682242991,Outer Regional
359,4754,961,22,0.0228928199792,Outer Regional
360,4756,253,12,0.0474308300395,Outer Regional
361,4757,167,9,0.0538922155689,Outer Regional
362,4798,478,24,0.0502092050209,Outer Regional
363,4799,485,16,0.0329896907216,Outer Regional
364,4800,3774,135,0.0357710651828,Outer Regional
365,4801,185,0,0.0,Remote
366,4802,3388,37,0.0109208972845,Outer Regional
367,4803,575,0,0.0,Remote
368,4804,1153,38,0.0329575021683,Remote
369,4805,4710,343,0.0728237791932,Outer Regional
370,4806,1993,112,0.0561966884094,Outer Regional
371,4807,5564,300,0.0539180445723,Outer Regional
372,4808,393,33,0.0839694656489,Outer Regional
373,4809,490,14,0.0285714285714,Outer Regional
374,4810,9308,427,0.0458745165449,Outer Regional
375,4811,5443,331,0.0608120521771,Outer Regional
376,4812,9426,481,0.0510290685338,Outer Regional
377,4813,42,0,0.0,Outer Regional
378,4814,18910,1155,0.0610787942887,Outer Regional
379,4815,11021,965,0.0875601125125,Outer Regional
380,4816,3978,1045,0.262694821518,Outer Regional
381,4817,13197,660,0.0500113662196,Outer Regional
382,4818,6437,261,0.0405468385894,Outer Regional
383,4819,983,12,0.0122075279756,Outer Regional
384,4820,5161,428,0.0829296647936,Outer Regional
385,4821,790,78,0.0987341772152,Very Remote
386,4822,327,23,0.0703363914373,Very Remote
387,4823,395,17,0.0430379746835,Very Remote
388,4824,1327,280,0.211002260739,Remote
389,4828,154,81,0.525974025974,Very Remote
390,4829,159,56,0.352201257862,Very Remote
391,4830,720,544,0.755555555556,Very Remote
392,4849,886,61,0.068848758465,Remote
393,4850,5606,313,0.0558330360328,Outer Regional
394,4852,1124,22,0.0195729537367,Outer Regional
395,4854,3156,345,0.109315589354,Outer Regional
396,4855,125,6,0.048,Outer Regional
397,4856,156,0,0.0,Outer Regional
398,4857,144,0,0.0,Outer Regional
399,4858,701,35,0.0499286733238,Outer Regional
400,4859,231,30,0.12987012987,Outer Regional
401,4860,5871,641,0.109180718787,Outer Regional
402,4861,878,80,0.0911161731207,Outer Regional
403,4865,2565,286,0.111500974659,Outer Regional
404,4868,8435,876,0.10385299348,Outer Regional
405,4869,7766,715,0.0920679886686,Outer Regional
406,4870,29660,2710,0.0913688469319,Outer Regional
407,4871,7856,3614,0.460030549898,Outer Regional
408,4872,2932,185,0.0630968622101,Outer Regional
409,4873,2886,367,0.127165627166,Outer Regional
410,4874,1809,725,0.400773908237,Very Remote
411,4875,3776,3164,0.837923728814,Very Remote
412,4876,1001,920,0.919080919081,Very Remote
413,4877,1992,30,0.0150602409639,Outer Regional
414,4878,5548,306,0.0551550108147,Outer Regional
415,4879,6460,143,0.0221362229102,Outer Regional
416,4880,5143,545,0.105969278631,Outer Regional
417,4881,1829,195,0.10661563696,Outer Regional
418,4882,1072,39,0.0363805970149,Outer Regional
419,4883,3648,251,0.0688048245614,Outer Regional
420,4884,825,17,0.0206060606061,Outer Regional
421,4885,2071,86,0.041525832931,Outer Regional
422,4886,302,18,0.0596026490066,Outer Regional
423,4887,957,134,0.140020898642,Outer Regional
424,4888,1403,156,0.111190306486,Outer Regional
425,4890,666,358,0.537537537538,Very Remote
426,4891,232,20,0.0862068965517,Very Remote
427,4895,1713,663,0.38704028021,Remote
428,4998,5542,203,0.0366293756767,No Usual Address
429,4999,11,0,0.0,Migratory
430,Total,1959175,63116,0.0322156009545,Major City
